function id,signature with docstring,function body
200,"    def get_openers(self, episode_num: int) -> Optional[List[str]]:
        """"""
        Override to return one or more opening messages with which to seed the self chat
        episode.

        The return value should be an array of strings, each string being a message in
        response to the string before it.
        """"""","        if self._openers:
            return [random.choice(self._openers)]
        return None"
201,"def pairwise_intersection(boxes1: Boxes, boxes2: Boxes) -> torch.Tensor:
    """"""
    Given two lists of boxes of size N and M,
    compute the intersection area between __all__ N x M pairs of boxes.
    The box order must be (xmin, ymin, xmax, ymax)

    Args:
        boxes1,boxes2 (Boxes): two `Boxes`. Contains N & M boxes, respectively.

    Returns:
        Tensor: intersection, sized [N,M].
    """"""","    boxes1, boxes2 = boxes1.tensor, boxes2.tensor
    width_height = torch.min(boxes1[:, None, 2:], boxes2[:, 2:]) - torch.max(
        boxes1[:, None, :2], boxes2[:, :2]
    )  # [N,M,2]

    width_height.clamp_(min=0)  # [N,M,2]
    intersection = width_height.prod(dim=2)  # [N,M]
    return intersection"
202,"    def close_connection(self, host):
        """"""close connection(s) to <host>
        host is the host:port spec, as in 'www.cnn.com:8080' as passed in.
        no error occurs if there is no connection to that host.""""""","        for h in self._cm.get_all(host):
            self._cm.remove(h)
            h.close()"
203,"    def read(self, node):
        """"""Obtain data from a parsed changelog revision.

        Returns a 6-tuple of:

           - manifest node in binary
           - author/user as a localstr
           - date as a 2-tuple of (time, timezone)
           - list of files
           - commit message as a localstr
           - dict of extra metadata

        Unless you need to access all fields, consider calling
        ``changelogrevision`` instead, as it is faster for partial object
        access.
        """"""","        c = changelogrevision(self.revision(node))
        return (c.manifest, c.user, c.date, c.files, c.description, c.extra)"
204,"def tokenize_rulekey_line(line):
    """"""
    Tokenizes a line of the form: '<type>(<value>):<type>(<value>):...<type>(<value>):'
    Tokens are returned in reverse order, because the serialization was also reversed.
    """"""","    # Since ':' can appear within a token value, we cheat and delimit tokens by '):'.
    delimiter = ""):""
    return [token + "")"" for token in reversed(line.split(delimiter)) if len(token) > 1]"
205,"def nullformatter(ui, topic):
    """"""formatter that prints nothing""""""","    return baseformatter(ui, topic, opts={}, converter=_nullconverter)"
206,"def is_branch_does_not_exist_error(response) -> bool:
    r""""""
    >>> response = {
    ...   ""data"": {
    ...     ""mergeBranch"": None
    ...   },
    ...   ""errors"": [
    ...     {
    ...       ""type"": ""NOT_FOUND"",
    ...       ""path"": [
    ...         ""mergeBranch""
    ...       ],
    ...       ""locations"": [
    ...         {
    ...           ""line"": 2,
    ...           ""column"": 3
    ...         }
    ...       ],
    ...       ""message"": ""No such base.""
    ...     }
    ...   ]
    ... }
    """"""","    errors = response.get(""errors"")
    if not errors or not isinstance(errors, list):
        return False
    for err in errors:
        if err.get(""type"") != ""NOT_FOUND"":
            continue
        message = err.get(""message"")
        if isinstance(message, str) and ""No such base."" in message:
            return True
    return False"
207,"def get_closest_vertices_mask_from_ES(
    E: torch.Tensor,
    S: torch.Tensor,
    h: int,
    w: int,
    mesh_vertex_embeddings: torch.Tensor,
    device: torch.device,
):
    """"""
    Interpolate Embeddings and Segmentations to the size of a given bounding box,
    and compute closest vertices and the segmentation mask

    Args:
        E (tensor [1, D, H, W]): D-dimensional embedding vectors for every point of the
            default-sized box
        S (tensor [1, 2, H, W]): 2-dimensional segmentation mask for every point of the
            default-sized box
        h (int): height of the target bounding box
        w (int): width of the target bounding box
        mesh_vertex_embeddings (tensor [N, D]): vertex embeddings for a chosen mesh
            N is the number of vertices in the mesh, D is feature dimensionality
        device (torch.device): device to move the tensors to
    Return:
        Closest Vertices (tensor [h, w]), int, for every point of the resulting box
        Segmentation mask (tensor [h, w]), boolean, for every point of the resulting box
    """"""","    embedding_resized = F.interpolate(E, size=(h, w), mode=""bilinear"")[0].to(device)
    coarse_segm_resized = F.interpolate(S, size=(h, w), mode=""bilinear"")[0].to(device)
    mask = coarse_segm_resized.argmax(0) > 0
    closest_vertices = torch.zeros(mask.shape, dtype=torch.long, device=device)
    all_embeddings = embedding_resized[:, mask].t()
    size_chunk = 10_000  # Chunking to avoid possible OOM
    edm = []
    if len(all_embeddings) == 0:
        return closest_vertices, mask
    for chunk in range((len(all_embeddings) - 1) // size_chunk + 1):
        chunk_embeddings = all_embeddings[size_chunk * chunk : size_chunk * (chunk + 1)]
        edm.append(
            torch.argmin(
                squared_euclidean_distance_matrix(chunk_embeddings, mesh_vertex_embeddings), dim=1
            )
        )
    closest_vertices[mask] = torch.cat(edm)
    return closest_vertices, mask"
208,"def CudaDevice(gpu_id):
    """"""Create a Cuda device.""""""","    return core.DeviceOption(caffe2_pb2.CUDA, gpu_id)"
209,"def is_distributed():
    """"""
    Return if we are in distributed mode.
    """"""",    return TORCH_AVAILABLE and dist.is_available() and dist.is_initialized()
210,"    def has_memory(self) -> bool:
        """"""
        Return whether there is memory.
        """"""",        return bool(self.active_memory_slots)
211,"def _rootsanddirs(kindpats):
    """"""Returns roots and exact directories from patterns.

    roots are directories to match recursively, whereas exact directories should
    be matched non-recursively. The returned (roots, dirs) tuple will also
    include directories that need to be implicitly considered as either, such as
    parent directories.

    >>> _rootsanddirs(
    ...     [('glob', 'g/h/*', ''), ('glob', 'g/h', ''),
    ...      ('glob', 'g*', '')])
    (['g/h', 'g/h', ''], ['', 'g'])
    >>> _rootsanddirs(
    ...     [('rootfilesin', 'g/h', ''), ('rootfilesin', '', '')])
    ([], ['g/h', '', '', 'g'])
    >>> _rootsanddirs(
    ...     [('relpath', 'r', ''), ('path', 'p/p', ''),
    ...      ('path', '', '')])
    (['r', 'p/p', ''], ['', 'p'])
    >>> _rootsanddirs(
    ...     [('relglob', 'rg*', ''), ('re', 're/', ''),
    ...      ('relre', 'rr', '')])
    (['', '', ''], [''])
    """"""","    r, d = _patternrootsanddirs(kindpats)

    # Append the parents as non-recursive/exact directories, since they must be
    # scanned to get to either the roots or the other exact directories.
    d.extend(sorted(util.dirs(d)))
    d.extend(sorted(util.dirs(r)))

    return r, d"
212,"def reassign_centroids(hassign, centroids, rs=None):
    """""" reassign centroids when some of them collapse """"""","    if rs is None:
        rs = np.random
    k, d = centroids.shape
    nsplit = 0
    empty_cents = np.where(hassign == 0)[0]

    if empty_cents.size == 0:
        return 0

    fac = np.ones(d)
    fac[::2] += 1 / 1024.
    fac[1::2] -= 1 / 1024.

    # this is a single pass unless there are more than k/2
    # empty centroids
    while empty_cents.size > 0:
        # choose which centroids to split
        probas = hassign.astype('float') - 1
        probas[probas < 0] = 0
        probas /= probas.sum()
        nnz = (probas > 0).sum()

        nreplace = min(nnz, empty_cents.size)
        cjs = rs.choice(k, size=nreplace, p=probas)

        for ci, cj in zip(empty_cents[:nreplace], cjs):

            c = centroids[cj]
            centroids[ci] = c * fac
            centroids[cj] = c / fac

            hassign[ci] = hassign[cj] // 2
            hassign[cj] -= hassign[ci]
            nsplit += 1

        empty_cents = empty_cents[nreplace:]

    return nsplit"
213,"def debugpull(ui, repo, **opts) -> None:
    """"""test repo.pull interface""""""","    headnames = []
    headnodes = []
    for rev in opts.get(""rev"", []):
        if len(rev) == 40:
            headnodes.append(bin(rev))
        else:
            headnames.append(rev)
    repo.pull(bookmarknames=opts[""bookmark""], headnodes=headnodes, headnames=headnames)"
214,"    def exportenv(self, name: str):
        """"""mark an env as exported""""""",        self.exportedenvvars.add(name)
215,"def getfiles(repo, proto):
    """"""A server api for requesting particular versions of particular files.""""""","    if shallowrepo.requirement in repo.requirements:
        raise error.Abort(_(""cannot fetch remote files from shallow repo""))
    if not isinstance(proto, sshserver.sshserver):
        raise error.Abort(_(""cannot fetch remote files over non-ssh protocol""))

    def streamer():
        fin = proto.fin
        args = []
        responselen = 0
        starttime = time.time()

        while True:
            request = fin.readline()[:-1]
            if not request:
                break

            hexnode = request[:40]
            node = bin(hexnode)
            if node == nullid:
                yield ""0\n""
                continue

            path = request[40:]

            args.append([hexnode, path])

            text = _loadfileblob(repo, path, node)

            response = ""%d\n%s"" % (len(text), text)
            responselen += len(response)
            yield response

            # it would be better to only flush after processing a whole batch
            # but currently we don't know if there are more requests coming
            proto.fout.flush()

        if repo.ui.configbool(""wireproto"", ""loggetfiles""):
            _logwireprotorequest(repo, ""getfiles"", starttime, responselen, args)

    return wireproto.streamres(streamer())"
216,"def threshold_radius_nres(nres, dis, ids, thresh, keep_max=False):
    """""" select a set of results """"""","    if keep_max:
        mask = dis > thresh
    else:
        mask = dis < thresh
    new_nres = np.zeros_like(nres)
    o = 0
    for i, nr in enumerate(nres):
        nr = int(nr)   # avoid issues with int64 + uint64
        new_nres[i] = mask[o:o + nr].sum()
        o += nr
    return new_nres, dis[mask], ids[mask]"
217,"    def str_to_api_dict(cls, string):
        """"""
        Used for API Call and Response Utterances -> Dict.
        """"""","        slot_strs = string.split("" ; "")
        result = {}
        for slot_str in slot_strs:
            if "" = "" not in slot_str:
                continue
            name, value = slot_str.split("" = "", 1)
            name = name.strip()
            value = SerializationHelpers.inner_list_split(value.strip())
            result[name] = value
        return result"
218,"    def __init__(self, tfidf_path=None, strict=True):
        """"""
        Args:
            tfidf_path: path to saved model file
            strict: fail on empty queries or continue (and return empty result)
        """"""","        # Load from disk
        logger.info('Loading %s' % tfidf_path)
        matrix, metadata = utils.load_sparse_csr(tfidf_path)
        self.doc_mat = matrix
        self.ngrams = metadata['ngram']
        self.hash_size = metadata['hash_size']
        self.tokenizer = tokenizers.get_class(metadata['tokenizer'])()
        self.doc_freqs = metadata['doc_freqs'].squeeze()
        self.doc_dict = metadata.get('doc_dict', None)
        self.num_docs = self.doc_mat.shape[1] - 1
        self.strict = strict"
219,"    def setup_episodes(self, fold: str) -> List[tod.TodStructuredEpisode]:
        """"""
        Fold here is a data fold.
        """"""","        raise NotImplementedError(
            ""Must have method for generating an episode. Must be set in downstream Parser for a given task""
        )"
220,"def migratetosegments(repo):
    """"""Migrate to full ""segmentedchangelog"" backend.

    Commit graph, IdMap, commit text are all backed by segmented changelog.
    This can take 10+ minutes for a large repo.
    """"""","    if ""segmentedchangelog"" in repo.storerequirements:
        return
    svfs = repo.svfs
    revlogdir = svfs.join("""")
    segmentsdir = svfs.join(SEGMENTS_DIR)
    hgcommitsdir = svfs.join(HGCOMMITS_DIR)
    with repo.lock():
        zstore = bindings.zstore.zstore(svfs.join(HGCOMMITS_DIR))
        cl = repo.changelog
        with progress.bar(
            repo.ui, _(""migrating commit text""), _(""commits""), len(cl)
        ) as prog:
            clnode = cl.node
            clparents = cl.parents
            clrevision = cl.revision
            contains = zstore.__contains__
            insert = zstore.insert
            textwithheader = changelogmod.textwithheader
            try:
                for rev in cl.revs():
                    node = clnode(rev)
                    if contains(node):
                        continue
                    text = clrevision(rev)
                    p1, p2 = clparents(node)
                    newnode = insert(textwithheader(text, p1, p2))
                    assert node == newnode
                    prog.value += 1
            finally:
                # In case of Ctrl+C, flush commits in memory so we can continue
                # next time.
                zstore.flush()

        master = list(repo.nodes(""present(%s)"", bookmod.mainbookmark(repo)))
        with progress.spinner(repo.ui, _(""migrating commit graph"")):
            bindings.dag.commits.migraterevlogtosegments(
                revlogdir, segmentsdir, hgcommitsdir, master
            )

        _removechangelogrequirements(repo)
        repo.storerequirements.add(""segmentedchangelog"")
        repo._writestorerequirements()
        repo.invalidatechangelog()"
221,"  def __init__(self, chroot_base):
    """"""Create the chroot.

    :chroot_base Directory for the creation of the target chroot.
    """"""","    try:
      safe_mkdir(chroot_base)
    except OSError as e:
      raise self.ChrootException('Unable to create chroot in %s: %s' % (chroot_base, e))
    self.chroot = chroot_base
    self.filesets = defaultdict(set)"
222,"    def list_dir(self, path: Union[Path, str]) -> List[Path]:
        """"""List the contents of a directory in the checkout.
        This can be used to ensure the directory has been loaded by Eden.
        """"""","        dir_path = self.checkout_path / path
        return list(dir_path.iterdir())"
223,"    def __init__(self, stackparentnode, pushcommits, fileconditions):
        """"""constructor for pushrequest

        This class is designed to only include simple types (list, dict,
        strings), without coupling with Mercurial internals, for maximum
        portability.

        Do not add states that are not simple types (ex. repo, ui, or bundle).
        """"""","
        self.stackparentnode = stackparentnode
        self.pushcommits = pushcommits
        self.fileconditions = fileconditions  # {path: None | filenode}"
224,"def ProcessFileData(filename, file_extension, lines, error,
                    extra_check_functions=[]):
  """"""Performs lint checks and reports any errors to the given error function.

  Args:
    filename: Filename of the file that is being processed.
    file_extension: The extension (dot not included) of the file.
    lines: An array of strings, each representing a line of the file, with the
           last element being empty if the file is terminated with a newline.
    error: A callable to which errors are reported, which takes 4 arguments:
           filename, line number, error level, and message
    extra_check_functions: An array of additional check functions that will be
                           run on each source line. Each function takes 4
                           arguments: filename, clean_lines, line, error
  """"""","  lines = (['// marker so line numbers and indices both start at 1'] + lines +
           ['// marker so line numbers end in a known way'])

  include_state = _IncludeState()
  function_state = _FunctionState()
  nesting_state = _NestingState()

  ResetNolintSuppressions()

  CheckForCopyright(filename, lines, error)

  if file_extension == 'h':
    CheckForHeaderGuard(filename, lines, error)

  RemoveMultiLineComments(filename, lines, error)
  clean_lines = CleansedLines(lines)
  for line in xrange(clean_lines.NumLines()):
    ProcessLine(filename, file_extension, clean_lines, line,
                include_state, function_state, nesting_state, error,
                extra_check_functions)
  nesting_state.CheckCompletedBlocks(filename, error)

  CheckForIncludeWhatYouUse(filename, clean_lines, include_state, error)

  # We check here rather than inside ProcessLine so that we see raw
  # lines rather than ""cleaned"" lines.
  CheckForBadCharacters(filename, lines, error)

  CheckForNewlineAtEOF(filename, lines, error)"
225,"    def get_subtype_requiredness(self):
        """"""Return a mapping from each subtype to its requiredness. The keys are
        the same as for get_subtypes and the values are booleans
        """"""",        return {}
226,"def unimethod(bytesfunc):
    """"""Create a proxy method that forwards __unicode__() and __str__() of
    Python 3 to __bytes__()""""""","
    def unifunc(obj):
        return unifromlocal(bytesfunc(obj))

    return unifunc"
227,"def localrepolistkeys(orig, self, namespace, patterns=None):
    """"""Wrapper of localrepo.listkeys()""""""","
    if namespace == ""bookmarks"" and patterns:
        index = self.bundlestore.index
        # Using sortdict instead of a dictionary to ensure that bookmaks are
        # restored in the same order after a pullbackup. See T24417531
        results = util.sortdict()
        bookmarks = orig(self, namespace)
        for pattern in patterns:
            results.update(index.getbookmarks(pattern))
            if pattern.endswith(""*""):
                pattern = ""re:^"" + pattern[:-1] + "".*""
            kind, pat, matcher = util.stringmatcher(pattern)
            for bookmark, node in pycompat.iteritems(bookmarks):
                if matcher(bookmark):
                    results[bookmark] = node
        return results
    else:
        return orig(self, namespace)"
228,"    def get_model_output(self, batch: Batch) -> Tuple[Any, ...]:
        """"""
        Return model output.

        :param batch:
            batch to process

        :return model_output:
            return output from model
        """"""","        if not self.regret:
            model_output = self.model(
                *self._model_input(batch), ys=batch.label_vec
            )  # type: ignore
            scores, preds, enc_state, *_ = model_output
        else:
            with torch.no_grad():
                beam_preds_scores, beams = self._regret_generate(
                    batch, self.beam_size, self.regret_intermediate_maxlen
                )
            regret_preds, _, _ = zip(*beam_preds_scores)
            new_batch = self._regret_rebatchify(batch, regret_preds)  # type: ignore
            regret_model_output = self.model(
                *self._model_input(new_batch), ys=batch.label_vec
            )  # type: ignore
            regret_scores, preds, enc_state = regret_model_output
            scores = regret_scores

        return (scores, preds, enc_state)"
229,"    def share(self):
        """"""
        Share the episodes.
        """"""","        shared = super().share()
        shared['episodes'] = self.episodes
        return shared"
230,"    def _compareondisk(self, path, wctx, pctx):
        """"""Compares the on-disk file content with the clean-checkout content.
        Return True if on-disk is different, False if it is the same, and None
        of the on-disk file is deleted or no longer accessible.
        """"""","        try:
            # This will return True for a file that got replaced by a
            # directory in the interim, but fixing that is pretty hard.
            if path not in pctx or wctx.flags(path) != pctx.flags(path):
                # Has changed
                return True

            pfctx = pctx[path]
            # Normally we would use pfctx.cmp(wctx[path]) instead of the filelog
            # cmp() function. Unfortunately filectx.cmp accesses the file size,
            # and getting the size with the current data store requires fetching
            # the whole file content. For now let's avoid that and go straight
            # to the filelog.cmp. Later we will fix this comparison to be pure
            # content sha comparisons, which will remove the need for this hack.
            return pfctx.filelog().cmp(pfctx.filenode(), wctx[path].data())
        except (IOError, OSError):
            # A file become inaccessible in between? Mark it as deleted,
            # matching dirstate behavior (issue5584).
            # The dirstate has more complex behavior around whether a
            # missing file matches a directory, etc, but we don't need to
            # bother with that: if f has made it to this point, we're sure
            # it's in the dirstate.
            return None"
231,"def prunecontainers(blocks, keep):
    """"""Prune unwanted containers.

    The blocks must have a 'type' field, i.e., they should have been
    run through findliteralblocks first.
    """"""","    pruned = []
    i = 0
    while i + 1 < len(blocks):
        # Searching for a block that looks like this:
        #
        # +-------+---------------------------+
        # | "".. container ::"" type            |
        # +---+                               |
        #     | blocks                        |
        #     +-------------------------------+
        if blocks[i][""type""] == ""paragraph"" and blocks[i][""lines""][0].startswith(
            "".. container::""
        ):
            indent = blocks[i][""indent""]
            adjustment = blocks[i + 1][""indent""] - indent
            containertype = blocks[i][""lines""][0][15:]
            prune = True
            for c in keep:
                if c in containertype.split("".""):
                    prune = False
            if prune:
                pruned.append(containertype)

            # Always delete ""..container:: type"" block
            del blocks[i]
            j = i
            i -= 1
            while j < len(blocks) and blocks[j][""indent""] > indent:
                if prune:
                    del blocks[j]
                else:
                    blocks[j][""indent""] -= adjustment
                    j += 1
        i += 1
    return blocks, pruned"
232,"    def suggested_hit_points_value(self):
        """"""
        :return: XCUIElement suggested hit points
        :rtype: str
        """"""","        return normalize_array_description(
            self.suggested_hit_points.GetObjectDescription()
        )"
233,"    def get_edenfs_processes(self) -> Iterable[EdenFSProcess]:
        """"""Returns a list of running EdenFS processes on the system.""""""",        raise NotImplementedError()
234,"def replace_method(the_class, name, replacement, ignore_missing=False):
    """""" Replaces a method in a class with another version. The old method
    is renamed to method_name_c (because presumably it was implemented in C) """"""","    try:
        orig_method = getattr(the_class, name)
    except AttributeError:
        if ignore_missing:
            return
        raise
    if orig_method.__name__ == 'replacement_' + name:
        # replacement was done in parent class
        return
    setattr(the_class, name + '_c', orig_method)
    setattr(the_class, name, replacement)"
235,"    def share(self):
        """"""
        Share internal states between parent and child instances.
        """"""","        shared = super().share()
        shared['dict'] = self.dict
        shared['model'] = self.model
        return shared"
236,"def parsebindag(data: Sized):
    """"""Reverse of `bindag`. Translated binary DAG to revs and parentrevs.

    The returned revs use integer commit identities starting from 0.
    """"""","
    def readiter(data, decodeat=vlq.decodeat):
        offset = 0
        while offset < len(data):
            value, size = decodeat(data, offset)
            yield value
            offset += size

    it = readiter(data)
    parents = []  # index: id, value: parentids
    append = parents.append

    # build dag in-memory
    while True:
        i = next(it, None)
        lastid = len(parents) - 1
        if i is None:
            break
        elif i == 0:
            append(())
        elif i == 1:
            p1 = lastid - next(it)
            append((p1,))
        elif i == 2:
            p1 = lastid - next(it)
            p2 = lastid - next(it)
            append((p1, p2))
        elif i == 3:
            p1 = lastid
            p2 = lastid - next(it)
            append((p1, p2))
        elif i == 4:
            p1 = lastid - next(it)
            p2 = lastid
            append((p1, p2))
        else:
            n = i - 4
            while n > 0:
                p1 = len(parents) - 1
                parents.append((p1,))
                n -= 1

    revs = range(len(parents))
    parentrevs = parents.__getitem__
    return revs, parentrevs"
237,"    def __init__(
        self,
        attn_type,
        hiddensize,
        embeddingsize,
        bidirectional=False,
        attn_length=-1,
        attn_time='pre',
    ):
        """"""
        Initialize attention layer.
        """"""","        super().__init__()
        self.attention = attn_type

        if self.attention != 'none':
            hsz = hiddensize
            hszXdirs = hsz * (2 if bidirectional else 1)
            if attn_time == 'pre':
                # attention happens on the input embeddings
                input_dim = embeddingsize
            elif attn_time == 'post':
                # attention happens on the output of the rnn
                input_dim = hsz
            else:
                raise RuntimeError('unsupported attention time')

            # linear layer for combining applied attention weights with input
            self.attn_combine = nn.Linear(hszXdirs + input_dim, input_dim, bias=False)

            if self.attention == 'local':
                # local attention over fixed set of output states
                if attn_length < 0:
                    raise RuntimeError('Set attention length to > 0.')
                self.max_length = attn_length
                # combines input and previous hidden output layer
                self.attn = nn.Linear(hsz + input_dim, attn_length, bias=False)
                # combines attention weights with encoder outputs
            elif self.attention == 'concat':
                self.attn = nn.Linear(hsz + hszXdirs, hsz, bias=False)
                self.attn_v = nn.Linear(hsz, 1, bias=False)
            elif self.attention == 'general':
                # equivalent to dot if attn is identity
                self.attn = nn.Linear(hsz, hszXdirs, bias=False)"
238,"    def scan(self, search_path=None):
        """"""Scan `search_path` for distributions usable in this environment

        Any distributions found are added to the environment.
        `search_path` should be a sequence of ``sys.path`` items.  If not
        supplied, ``sys.path`` is used.  Only distributions conforming to
        the platform/python version defined at initialization are added.
        """"""","        if search_path is None:
            search_path = sys.path

        for item in search_path:
            for dist in find_distributions(item):
                self.add(dist)"
239,"    def dictionary_class():
        """"""
        Replace normal dictionary class with mock one.
        """"""",        return MockDict
240,"    def test_recommendations_group(self):
        """"""
        Test whether recommended args work for a group.
        """"""","        parser = ParlaiParser(False, False)
        parser_grp = parser.add_argument_group('Test Group')
        parser_grp.add_argument(
            '-bs',
            '--batchsize',
            default=1,
            type=int,
            help='batch size for minibatch training schemes',
            recommended=1337,
        )
        parser.parse_args([])

        help_str = parser.format_help()
        assert 'Test Group' in help_str
        _, latter = help_str.split('Test Group')
        assert 'recommended:' in latter
        assert '1337' in latter"
241,"    def getPeerName(self):
        """"""Gets the address of the client.

        Returns:
          The equivalent value of socket.getpeername() on the client socket
        """"""",        raise NotImplementedError
242,"def _makenofollowlogfilematcher(repo, pats, opts):
    """"""hook for extensions to override the filematcher for non-follow cases""""""",    return None
243,"  def PEX_INTERPRETER(self):
    """"""Boolean

    Drop into a REPL instead of invoking the predefined entry point of this PEX. This can be
    useful for inspecting the PEX environment interactively.  It can also be used to treat the PEX
    file as an interpreter in order to execute other scripts in the context of the PEX file, e.g.
    ""PEX_INTERPRETER=1 ./app.pex my_script.py"".  Equivalent to setting PEX_MODULE to empty.
    Default: false.
    """"""","    return self._get_bool('PEX_INTERPRETER', default=False)"
244,"def get_product_list():
    """"""Return a list of product configs available.""""""","    instance = adobe_api.AdobeAPIObject(
        ""fake@fake.com"",
        allow_nonexistent_user=True
    )
    productlist = instance.gather_product_list()
    return [x['groupName'] for x in productlist]"
245,"def _iteritems(data):
    """"""iterate key-value pairs in stable order""""""","    if isinstance(data, dict):
        return sorted(pycompat.iteritems(data))
    return data"
246,"    def endSequence(self, seq, state):
        """"""Invoked at the end of a sequence of tests.""""""",
247,"    def opent(
        self, path: str, mode: str = ""r"", buffering: int = 32, **kwargs: Any
    ) -> TabularIO:
        """"""
        Open a tabular data source. Only reading is supported.
        The opent() returns a Python iterable collection object, compared to bytes/text data with open()

        Args:
            path (str): A URI supported by this PathHandler
            mode (str): Specifies the mode in which the file is opened. It defaults
                to 'r'
            buffering (int): number of rows fetched and cached

        Returns:
            A TabularIO context manager object
        """"""","        return self.__get_path_handler(path)._opent(path, mode, buffering, **kwargs)"
248,"def _makegetfctx(ctx):
    """"""return a 'getfctx' function suitable for _checkcopies usage

    We have to re-setup the function building 'filectx' for each
    '_checkcopies' to ensure the linkrev adjustment is properly setup for
    each. Linkrev adjustment is important to avoid bug in rename
    detection. Moreover, having a proper '_ancestrycontext' setup ensures
    the performance impact of this adjustment is kept limited. Without it,
    each file could do a full dag traversal making the time complexity of
    the operation explode (see issue4537).

    This function exists here mostly to limit the impact on stable. Feel
    free to refactor on default.
    """"""","    rev = ctx.rev()
    repo = ctx._repo
    ac = getattr(ctx, ""_ancestrycontext"", None)
    if ac is None:
        revs = [rev]
        if rev is None:
            revs = [p.rev() for p in ctx.parents()]
        ac = repo.changelog.ancestors(revs, inclusive=True)
        ctx._ancestrycontext = ac

    def makectx(f, n):
        if n in node.wdirnodes:  # in a working context?
            if ctx.rev() is None:
                return ctx.filectx(f)
            return repo[None][f]
        fctx = repo.filectx(f, fileid=n)
        # setup only needed for filectx not create from a changectx
        fctx._ancestrycontext = ac
        fctx._descendantrev = rev
        # make __repr__ / introrev / adjustlinkrev work
        fctx._changeid = rev
        return fctx

    return util.lrucachefunc(makectx)"
249,"    def forward(self, tokens, segments):
        """"""
        Scores each concatenation text + candidate.
        """"""","        encoded = self.encoder(tokens, None, segments)
        res = self.linear_layer(encoded)
        return res"
250,"def slurm_distributed_context(opt):
    """"""
    Initialize a distributed context, using the SLURM environment.

    Does some work to read the environment to find a list of participating nodes
    and the main node.

    :param opt:
        Command line options.
    """"""","    # We can determine the init method automatically for Slurm.
    # double check we're using SLURM
    node_list = os.environ.get('SLURM_JOB_NODELIST')
    if node_list is None:
        raise RuntimeError(
            'Does not appear to be in a SLURM environment. '
            'You should not call this script directly; see launch_distributed.py'
        )
    try:
        # Figure out the main host, and which rank we are.
        hostnames = subprocess.check_output(
            ['scontrol', 'show', 'hostnames', node_list]
        )
    except FileNotFoundError as e:
        # Slurm is not installed
        raise RuntimeError(
            f'SLURM does not appear to be installed. Missing file: {e.filename}'
        )

    main_host = hostnames.split()[0].decode('utf-8')
    distributed_rank = int(os.environ['SLURM_PROCID'])
    if opt.get('model_parallel'):
        # -1 signals to multiprocessing_train to use all GPUs available.
        # (A value of None signals to multiprocessing_train to use the GPU
        # corresponding to the rank.
        device_id = -1
    else:
        device_id = int(os.environ['SLURM_LOCALID'])
    port = opt['port']
    logging.info(
        f'Initializing host {socket.gethostname()} as rank {distributed_rank}, '
        f'main is {main_host}'
    )
    # Begin distributed training
    with distributed_context(
        distributed_rank, opt, 0, device_id, init_method=f""tcp://{main_host}:{port}""
    ) as opt:
        yield opt"
251,"def _pullchangeset(pullop):
    """"""pull changeset from unbundle into the local repo""""""","    # We delay the open of the transaction as late as possible so we
    # don't open transaction for nothing or you break future useful
    # rollback call
    if ""changegroup"" in pullop.stepsdone:
        return
    pullop.stepsdone.add(""changegroup"")
    if not pullop.fetch:
        pullop.repo.ui.status(_(""no changes found\n""))
        pullop.cgresult = 0
        return
    tr = pullop.gettransaction()
    if pullop.heads is None and list(pullop.common) == [nullid]:
        pullop.repo.ui.status(_(""requesting all changes\n""))
    elif pullop.heads is None and pullop.remote.capable(""changegroupsubset""):
        # issue1320, avoid a race if remote changed after discovery
        pullop.heads = pullop.rheads

    repo = pullop.repo
    if _httpcommitgraphenabled(repo, pullop.remote):
        return _pullcommitgraph(pullop)

    if pullop.remote.capable(""getbundle""):
        # TODO: get bundlecaps from remote
        cg = pullop.remote.getbundle(
            ""pull"", common=pullop.common, heads=pullop.heads or pullop.rheads
        )
    elif pullop.heads is None:
        cg = pullop.remote.changegroup(pullop.fetch, ""pull"")
    elif not pullop.remote.capable(""changegroupsubset""):
        raise error.Abort(
            _(
                ""partial pull cannot be done because ""
                ""other repository doesn't support ""
                ""changegroupsubset.""
            )
        )
    else:
        cg = pullop.remote.changegroupsubset(pullop.fetch, pullop.heads, ""pull"")
    bundleop = bundle2.applybundle(pullop.repo, cg, tr, ""pull"", pullop.remote.url())
    pullop.cgresult = bundle2.combinechangegroupresults(bundleop)"
